2,20,2,0,134709883,0.965560
3,19,7,3,1,0.695048
2,12,0,2,1,0.368479
3,18,20,2,3,0.314870
3,10,8,2,2,0.303574
0,2,0,2,2,0.238188
3,2,4,3,1,0.215658
0,3,0,2,1,0.204070
0,0,1,3,1,0.190400
2,20,3,3,1,0.205440
3,8,2,0,0,0.212401
0,2,3,3,0,0.158074
2,17,2,0,0,0.165619
0,0,2,0,0,0.138868
3,19,7,2,1,0.135348
3,3,11,2,0,0.176858
3,19,7,2,3,0.132639
2,12,0,2,3,0.151027
2,1,0,2,3,0.132890
0,1,1,3,3,0.124168
0,0,0,2,3,0.120252
0,1,3,3,3,0.129581
2,3,1,2,3,0.110443
0,0,3,3,3,0.111072
0,3,2,3,3,0.107469
2,14,2,3,3,0.103390
0,2,2,3,3,0.100894
3,8,8,1,0,0.108243
0,3,2,2,0,0.105623
2,20,1,1,0,0.095087
3,18,20,2,3,0.124243
2,18,1,2,3,0.108945
3,6,9,1,0,0.102735
3,10,2,2,2,0.106382
3,10,8,2,2,0.096701
0,3,1,2,2,0.095149
3,19,8,0,1,0.092484
0,2,0,0,1,0.089095
3,6,19,3,0,0.082715
0,1,2,0,0,0.101622
2,20,0,1,0,0.092010
0,3,3,3,0,0.090282
2,15,1,1,0,0.084732
3,6,10,3,2,0.078424
0,3,0,1,2,0.080487
2,10,1,1,2,0.073954
3,1,1,2,0,0.064635
0,3,1,1,0,0.067939
3,4,11,2,2,0.063267
0,0,1,1,2,0.066567
0,2,0,3,2,0.063833
0,2,3,1,2,0.065082
0,1,0,2,2,0.063657
3,3,3,3,0,0.066328
0,3,1,3,0,0.064422
0,1,2,3,0,0.059311
3,7,19,0,2,0.068724
2,6,2,0,2,0.060241
2,20,0,0,2,0.070458
2,9,2,1,2,0.062936
2,14,0,0,2,0.068080
3,3,8,1,0,0.057739
2,15,2,0,0,0.058692
3,10,8,0,2,0.052984
0,0,0,2,2,0.053994
0,2,2,0,2,0.048485
0,0,2,0,2,0.050806
0,0,3,3,2,0.051180
2,5,1,2,2,0.058278
3,8,3,3,0,0.047891
0,3,3,2,0,0.059033
0,2,2,1,0,0.051324
2,6,1,2,0,0.064127
3,10,2,3,0,0.055612
3,14,8,3,0,0.047483
0,0,0,3,0,0.053882
3,11,7,1,0,0.045460
0,2,1,2,0,0.043902
2,1,2,0,0,0.051394
2,20,3,2,0,0.052618
2,13,2,0,0,0.051537
0,1,3,2,0,0.049041
0,1,3,1,0,0.042266
3,8,8,2,0,0.047492
3,19,8,0,2,0.044327
0,0,3,0,2,0.041820
3,19,7,2,3,0.042465
0,1,1,1,3,0.041055
0,0,3,2,3,0.043633
3,4,4,3,3,0.041843
3,6,4,3,3,0.042377
3,11,7,3,3,0.041154
0,3,1,3,3,0.040562
0,1,1,2,3,0.040530
0,3,1,2,3,0.045872
0,3,1,1,3,0.044190
0,3,2,2,3,0.036685
2,20,2,0,3,0.037434
0,0,2,0,3,0.047058
0,2,2,0,3,0.042864
0,3,0,0,3,0.040899
0,3,3,3,3,0.037928
0,2,1,1,3,0.034730
0,2,1,2,3,0.033713
0,2,1,3,3,0.037426
0,2,3,0,3,0.033342
3,4,4,3,2,0.036780
0,1,2,1,2,0.035152
2,3,2,3,2,0.035582
3,6,4,0,3,0.040925
2,6,2,3,3,0.038245
0,3,2,3,3,0.030081
0,0,0,0,3,0.031152
2,11,2,0,3,0.040690
2,6,3,2,3,0.042981
2,14,2,0,3,0.040568
3,10,8,2,2,0.030285
3,10,1,2,3,0.030005
2,1,0,2,3,0.037237
3,1,1,3,0,0.039291
3,1,1,3,0,0.037524
2,20,2,2,0,0.036727
2,8,2,1,0,0.039598
2,18,2,2,0,0.036847
2,7,2,1,0,0.037314
2,16,2,2,0,0.035109
3,18,18,2,0,0.034779
3,13,3,2,0,0.031005
3,2,2,2,3,0.028888
2,2,2,3,3,0.036425
2,4,2,0,3,0.036525
0,2,3,2,3,0.035372
0,0,2,3,3,0.030275
3,19,7,2,3,0.031049
0,2,0,2,3,0.027438
2,12,2,0,3,0.032959
2,12,2,2,3,0.033223
2,12,2,2,3,0.030877
3,11,7,0,0,0.030266
0,0,2,2,0,0.036291
2,13,2,0,0,0.032723
3,2,2,2,3,0.033931
0,0,2,2,3,0.028196
0,0,2,0,3,0.027913
2,18,1,3,3,0.037189
2,9,2,1,3,0.030879
2,6,1,3,3,0.031166
0,3,1,3,3,0.026610
2,11,1,2,3,0.025225
0,3,1,3,3,0.036168
0,3,2,3,3,0.032769
2,20,2,2,3,0.033981
0,2,2,3,3,0.031939
2,14,1,3,3,0.027251
0,2,2,1,3,0.031560
0,2,2,1,3,0.030195
0,2,2,1,3,0.033747
0,0,1,3,3,0.023446
3,6,4,2,3,0.028226
0,3,0,0,3,0.028066
3,7,19,1,2,0.025105
0,1,0,0,2,0.025177
0,1,0,2,2,0.025975
0,2,0,1,2,0.024580
3,10,8,3,2,0.024557
2,20,1,3,2,0.029872
0,0,2,0,2,0.028069
3,7,19,2,2,0.028113
3,6,4,3,3,0.024714
2,13,2,1,3,0.023252
0,2,2,1,3,0.025472
0,2,2,1,3,0.024122
0,3,1,3,3,0.030808
2,11,1,2,3,0.028737
2,18,2,2,3,0.028480
0,3,1,2,3,0.028006
3,4,4,0,3,0.023790
3,7,4,1,2,0.024393
0,2,1,1,2,0.024131
2,17,3,1,2,0.022423
2,17,3,1,2,0.027714
0,2,2,3,2,0.025106
0,2,2,3,2,0.023281
0,1,3,1,2,0.023964
0,0,2,3,2,0.022988
2,0,1,0,2,0.027101
3,8,10,3,1,0.023899
3,18,18,0,3,0.024042
3,18,18,2,3,0.032628
2,9,1,0,3,0.029377
0,0,2,2,3,0.029751
0,2,3,3,3,0.026944
3,3,8,0,0,0.023225
3,3,8,3,0,0.028474
0,3,2,1,0,0.030009
0,0,1,0,0,0.026525
0,2,2,2,0,0.025356
2,2,3,1,0,0.026675
0,0,3,0,0,0.025271
0,0,3,3,0,0.028949
0,0,3,3,0,0.020483
0,0,0,0,0,0.020343
2,18,0,2,0,0.020128
0,0,0,0,0,0.023810
2,7,3,1,0,0.024871
3,8,7,3,0,0.034471
2,8,3,1,0,0.027017
0,0,3,3,0,0.026912
2,7,3,1,0,0.024440
0,0,2,0,0,0.023123
0,3,0,2,0,0.021766
3,4,11,0,2,0.021465
3,11,4,1,0,0.026375
0,3,0,2,0,0.022231
0,0,2,0,0,0.020713
3,1,1,1,0,0.019658
2,1,1,1,0,0.021201
2,1,0,3,0,0.020369
2,20,3,3,0,0.028061
0,3,3,1,0,0.023013
3,8,11,2,1,0.025562
2,12,0,3,1,0.020322
0,3,3,3,1,0.022990
2,9,2,3,1,0.025790
2,2,3,0,1,0.025381
0,3,0,3,1,0.021411
0,0,1,1,1,0.020464
3,4,4,3,2,0.019644
2,12,1,3,2,0.018491
0,2,1,2,2,0.019951
0,3,1,2,2,0.023066
2,1,1,2,2,0.020634
3,19,7,0,3,0.023008
3,19,7,1,3,0.023359
2,12,1,2,3,0.020334
0,3,1,2,3,0.018651
3,10,8,3,2,0.018827
0,3,1,2,2,0.018499
0,3,2,0,2,0.018173
2,1,2,3,2,0.023485
2,6,3,0,2,0.023697
0,3,2,3,2,0.023047
2,18,3,0,2,0.024426
2,11,3,1,2,0.024340
0,1,3,0,2,0.023750
2,13,3,1,2,0.021489
2,18,1,1,2,0.022521
0,1,3,1,2,0.022545
3,2,3,1,1,0.021318
3,2,2,3,3,0.020336
3,18,18,2,0,0.017787
3,3,3,1,0,0.020530
2,17,2,1,0,0.017235
2,17,3,3,0,0.019724
0,1,3,3,0,0.022033
0,2,2,1,0,0.021429
0,1,3,3,0,0.018227
0,1,3,3,0,0.019895
0,2,2,2,0,0.021114
2,8,2,1,0,0.020690
0,0,1,1,0,0.022356
0,2,2,1,0,0.018578
0,1,0,0,0,0.017706
2,9,2,2,0,0.017529
0,3,1,3,0,0.017139
0,1,1,2,0,0.018639
0,2,2,2,0,0.017282
0,2,2,3,0,0.016482
0,2,2,0,0,0.017414
0,2,2,0,0,0.020278
2,3,2,3,0,0.019779
0,3,1,3,0,0.020916
0,3,2,3,0,0.021740
2,19,3,3,0,0.021898
0,3,2,2,0,0.021429
2,20,3,3,0,0.021748
2,4,2,3,0,0.020670
3,3,8,1,0,0.021027
2,8,2,3,0,0.019618
0,2,3,1,0,0.018902
0,2,3,1,0,0.020340
2,6,2,3,0,0.017232
3,8,2,2,0,0.016576
3,8,3,3,0,0.028029
0,0,2,3,0,0.032522
2,6,3,3,0,0.021016
3,3,3,2,0,0.023324
3,8,10,2,1,0.017906
0,3,0,2,1,0.015784
0,1,3,2,1,0.015987
2,13,2,2,1,0.017058
0,3,3,3,1,0.020526
3,11,7,2,0,0.020628
2,18,0,3,0,0.020054
2,3,2,2,0,0.021223
0,3,3,3,0,0.019591
2,12,3,1,0,0.015856
2,18,3,3,0,0.019817
0,3,3,1,0,0.020568
0,3,3,3,0,0.018807
2,9,2,2,0,0.019156
2,14,2,1,0,0.019514
2,11,2,2,0,0.017478
3,11,7,2,3,0.020363
2,10,2,2,3,0.020939
0,0,2,2,3,0.020094
0,0,2,2,3,0.016833
0,0,2,0,3,0.016493
0,0,1,0,3,0.019764
0,0,1,0,3,0.018537
2,19,3,3,3,0.021801
